ProviderID,network_name,addresses,route_server_asns
457,NETNOD-HELSINKI-IX-BLUE-9K,"185.1.230.0/25/25, 2001:7f8:122::/49/49",[]
604,IX-LUL-BLUE-9000,"194.68.131.64/26/26, 2001:7f8:d:400::/64/64",[]
604,IX-STH-BLUE-1500,"194.68.128.0/24/24, 2001:7f8:d:fe::/64/64",[]
604,IX-STH-BLUE-4470,"195.69.119.0/24/24, 2001:7f8:d:fb::/64/64",[]
604,IX-STH-GREEN-1500,"194.68.123.0/24/24, 2001:7f8:d:ff::/64/64",[]
604,IX-STH-GREEN-4470,"195.245.240.0/24/24, 2001:7f8:d:fc::/64/64",[]
604,IX-SVL-BLUE-1500,"194.68.133.0/24/24, 2001:7f8:d:300::/64/64",[]
604,IX-SVL-BLUE-4470,"194.68.135.0/24/24, 2001:7f8:d:301::/64/64",[]
432,Peering LAN,45.68.68.0/24,[]
696,NIX-Service,"103.146.134.0/24, 2001:df2:6080:e::/64",[]
477,Peering VLAN,"2001:7f8:14::/64, 91.210.16.0/22",[]
747,,193.156.90.0/24,[]
1406,Peering VLAN,"194.30.187.0/24, 2001:7f8:91::/48",[]
1229,,218.100.48.0/23,[]
257,NL-ix,"193.239.116.0/22, 2001:7f8:13::/64",[]
52,Norfolk,"149.112.14.0/24, 2001:504:106::/64",[]
186,NL-ix 2,"185.1.122.0/24, 2001:7f8:cd::/64",[]
541,nnenix:multi-lateral,"2001:504:76:1020::/64, 206.71.140.0/24",[]
882,ISP,"194.226.100.0/23, 2001:7f8:20:201::/64",[]
882,ISP,"194.226.102.0/23, 2001:7f8:20:202::/64",[]
882,ISP,"193.232.140.0/24, 2001:7f8:20:501::/64",[]
882,ISP,"195.208.208.0/21, 2001:7f8:20:101::/64",[]
882,ISP,"194.85.107.0/24, 2001:7f8:20:301::/64",[]
882,ISP,"193.232.87.0/24, 2001:7f8:20:401::/64",[]
1177,,,[]
1188,NWAX-A,"198.32.195.0/24, 2620:124:2000::/64",[]
1187,Standard Peering Service New York,"2001:504:36::/64, 206.82.104.0/22",[]
73,OGIX-IXP,"2001:504:96::/64, 206.82.110.0/23",[]
640,Ohio IX Public Peering LAN,"2001:504:64:100::/64, 2001:504:64:100::/64, 206.53.204.0/24, 206.53.204.0/24",[]
640,Ohio IX Services,"134.195.207.0/24, 2602:fd28::/36",[]
643,Core,"149.112.50.0/24, 2001:504:125:e1::/64",[]
353,Standard Peering Service Chicago,"149.112.11.0/24, 2001:504:102::/64",[]
639,,,[]
642,Peering.cz VLAN,"185.0.20.0/0, 2001:7f8:7f::/0",[]
641,NAPAfrica CT1 Peering,"196.60.70.0/23, 196.60.70.0/23, 2001:43f8:6d1::/64, 2001:43f8:6d1::/64",[]
641,NAPAfrica MAPS Cape Town,196.46.25.0/25,[]
644,Phoenix,"2001:504:3b::/64, 206.41.105.0/24",[]
1331,Peering,168.234.79.0/24,[]
1331,Quarantine,168.234.79.0/24,[]
1330,Peering LAN,"2801:11:a800::/64, 45.68.0.0/24",[]
1332,Peering,"2801:19:7800:2::/64, 45.68.60.0/24",[]
1332,Peering_RS2,"2801:19:7800:8000::/64, 45.68.61.0/24",[]
922,fra,31.44.186.0/23,[]
922,hls,193.27.37.0/24,[]
922,msk,185.0.12.0/22,[]
922,rix,193.27.39.0/24,[]
922,rnd,193.27.38.0/24,[]
922,spb,185.1.152.0/23,[]
922,tll,37.9.49.0/24,[]
1060,Peering LAN #1 - 1500,"2001:504:77::/64, 206.71.141.0/24",[]
1056,PEERING,"100.128.0.0/24, 2001:db8::/64",[]
